resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
Communications - Copper,checklist,,,,,,4244.01-049,,,,,
Communications - Copper,checklist,,,,,,4244.01-050,,,,,
Communications - Copper,checklist,,,,,,4244.01-051,,,,,
Communications - Copper,checklist,,,,,,4244.01-052,,,,,
Communications - Copper,checklist,,,,,,4244.01-053,,,,,
Communications - Copper,checklist,,,,,,4244.01-054,,,,,
Communications - Copper,checklist,,,,,,4244.01-055,,,,,
Communications - Copper,checklist,,,,,,4244.01-056,,,,,
Communications - Copper,checklist,,,,,,4244.01-057,,,,,
Communications - Copper,checklist,,,,,,4244.01-058,,,,,
Communications - Copper,checklist,,,,,,4244.01-059,,,,,
Communications - Copper,checklist,,,,,,4244.01-060,,,,,
Communications - Copper,checklist,,,,,,4244.01-061,,,,,
Communications - Copper,checklist,,,,,,4244.01-062,,,,,
Communications - Copper,checklist,,,,,,4244.01-063,,,,,
Communications - Copper,checklist,,,,,,4244.01-064,,,,,
Communications - Copper,checklist,,,,,,4244.01-065,,,,,
Communications - Copper,checklist,,,,,,4244.01-066,,,,,
Communications - Copper,checklist,,,,,,4244.01-067,,,,,
Communications - Copper,checklist,,,,,,4244.01-068,,,,,
Communications - Copper,checklist,,,,,,4244.01-069,,,,,
Communications - Copper,checklist,,,,,,4244.01-070,,,,,
Communications - Copper,checklist,,,,,,4244.01-071,,,,,
Communications - Copper,checklist,,,,,,4244.01-072,,,,,
,step,,,,,Patch Panel: 4244.01-PPT-00004,,,,,,
Communications - Copper,checklist,,,,,,4244.01-073,,,,,
Communications - Copper,checklist,,,,,,4244.01-074,,,,,
Communications - Copper,checklist,,,,,,4244.01-075,,,,,
Communications - Copper,checklist,,,,,,4244.01-076,,,,,
Communications - Copper,checklist,,,,,,4244.01-077,,,,,
Communications - Copper,checklist,,,,,,4244.01-078,,,,,
Communications - Copper,checklist,,,,,,4244.01-079,,,,,
Communications - Copper,checklist,,,,,,4244.01-080,,,,,
Communications - Copper,checklist,,,,,,4244.01-081,,,,,
Communications - Copper,checklist,,,,,,4244.01-082,,,,,
Communications - Copper,checklist,,,,,,4244.01-083,,,,,
Communications - Copper,checklist,,,,,,4244.01-084,,,,,
Communications - Copper,checklist,,,,,,4244.01-085,,,,,
Communications - Copper,checklist,,,,,,4244.01-086,,,,,
Communications - Copper,checklist,,,,,,4244.01-087,,,,,
Communications - Copper,checklist,,,,,,4244.01-088,,,,,
Communications - Copper,checklist,,,,,,4244.01-089,,,,,
Communications - Copper,checklist,,,,,,4244.01-090,,,,,
Communications - Copper,checklist,,,,,,4244.01-091,,,,,
Communications - Copper,checklist,,,,,,4244.01-092,,,,,
Communications - Copper,checklist,,,,,,4244.01-093,,,,,
Communications - Copper,checklist,,,,,,4244.01-094,,,,,
Communications - Copper,checklist,,,,,,4244.01-095,,,,,
Communications - Copper,checklist,,,,,,4244.01-096,,,,,
,step,,,,,Patch Panel: 4244.01-PPT-00005,,,,,,
Communications - Copper,checklist,,,,,,4244.01-097,,,,,
Communications - Copper,checklist,,,,,,4244.01-098,,,,,
Communications - Copper,checklist,,,,,,4244.01-099,,,,,
Communications - Copper,checklist,,,,,,4244.01-100,,,,,
Communications - Copper,checklist,,,,,,4244.01-101,,,,,
Communications - Copper,checklist,,,,,,4244.01-102,,,,,
Communications - Copper,checklist,,,,,,4244.01-103,,,,,
Communications - Copper,checklist,,,,,,4244.01-104,,,,,
Communications - Copper,checklist,,,,,,4244.01-105,,,,,
Communications - Copper,checklist,,,,,,4244.01-106,,,,,
Communications - Copper,checklist,,,,,,4244.01-107,,,,,
Communications - Copper,checklist,,,,,,4244.01-108,,,,,
Communications - Copper,checklist,,,,,,4244.01-109,,,,,
Communications - Copper,checklist,,,,,,4244.01-110,,,,,
Communications - Copper,checklist,,,,,,4244.01-111,,,,,
Communications - Copper,checklist,,,,,,4244.01-112,,,,,
Communications - Copper,checklist,,,,,,4244.01-113,,,,,
Communications - Copper,checklist,,,,,,4244.01-114,,,,,
Communications - Copper,checklist,,,,,,4244.01-115,,,,,
Communications - Copper,checklist,,,,,,4244.01-116,,,,,
Communications - Copper,checklist,,,,,,4244.01-117,,,,,
Communications - Copper,checklist,,,,,,4244.01-118,,,,,
Communications - Copper,checklist,,,,,,4244.01-119,,,,,
Communications - Copper,checklist,,,,,,4244.01-120,,,,,
,step,,,,,Patch Panel: 4244.01-PPT-00006,,,,,,
Communications - Copper,checklist,,,,,,4244.01-121,,,,,
Communications - Copper,checklist,,,,,,4244.01-122,,,,,
Communications - Copper,checklist,,,,,,4244.01-123,,,,,
Communications - Copper,checklist,,,,,,4244.01-124,,,,,
Communications - Copper,checklist,,,,,,4244.01-125,,,,,
Communications - Copper,checklist,,,,,,4244.01-126,,,,,
Communications - Copper,checklist,,,,,,4244.01-127,,,,,
Communications - Copper,checklist,,,,,,4244.01-128,,,,,
Communications - Copper,checklist,,,,,,4244.01-129,,,,,
Communications - Copper,checklist,,,,,,4244.01-130,,,,,
Communications - Copper,checklist,,,,,,4244.01-131,,,,,
Communications - Copper,checklist,,,,,,4244.01-132,,,,,
Communications - Copper,checklist,,,,,,4244.01-133,,,,,
Communications - Copper,checklist,,,,,,4244.01-134,,,,,
Communications - Copper,checklist,,,,,,4244.01-135,,,,,
Communications - Copper,checklist,,,,,,4244.01-136,,,,,
Communications - Copper,checklist,,,,,,4244.01-137,,,,,
Communications - Copper,checklist,,,,,,4244.01-138,,,,,
Communications - Copper,checklist,,,,,,4244.01-139,,,,,
Communications - Copper,checklist,,,,,,4244.01-140,,,,,
Communications - Copper,checklist,,,,,,4244.01-141,,,,,
Communications - Copper,checklist,,,,,,4244.01-142,,,,,
Communications - Copper,checklist,,,,,,4244.01-143,,,,,
Communications - Copper,checklist,,,,,,4244.01-144,,,,,
,step,,,,,Patch Panel: 4244.01-PPT-00007,,,,,,
Communications - Copper,checklist,,,,,,4244.01-145,,,,,
Communications - Copper,checklist,,,,,,4244.01-146,,,,,
Communications - Copper,checklist,,,,,,4244.01-147,,,,,
Communications - Copper,checklist,,,,,,4244.01-148,,,,,
Communications - Copper,checklist,,,,,,SPARE 1,,,,,
Communications - Copper,checklist,,,,,,SPARE 2,,,,,
Communications - Copper,checklist,,,,,,SPARE 3,,,,,
Communications - Copper,checklist,,,,,,SPARE 4,,,,,
Communications - Copper,checklist,,,,,,SPARE 5,,,,,
Communications - Copper,checklist,,,,,,SPARE 6,,,,,
Communications - Copper,checklist,,,,,,SPARE 7,,,,,
Communications - Copper,checklist,,,,,,SPARE 8,,,,,
Communications - Copper,checklist,,,,,,SPARE 9,,,,,
Communications - Copper,checklist,,,,,,SPARE 10,,,,,
Communications - Copper,checklist,,,,,,SPARE 11,,,,,
Communications - Copper,checklist,,,,,,SPARE 12,,,,,
Communications - Copper,checklist,,,,,,SPARE 13,,,,,
Communications - Copper,checklist,,,,,,SPARE 14,,,,,
Communications - Copper,checklist,,,,,,SPARE 15,,,,,
Communications - Copper,checklist,,,,,,SPARE 16,,,,,
Communications - Copper,checklist,,,,,,SPARE 17,,,,,
Communications - Copper,checklist,,,,,,SPARE 18,,,,,
Communications - Copper,checklist,,,,,,SPARE 19,,,,,
Communications - Copper,checklist,,,,,,SPARE 20,,,,,
,step,,,,Rack: 4244.02-PPC-00001,,,,,,,
Communications - Cabinet,checklist,,,,,Cabinet ITC,,,,,,
,step,,,,,Patch Panel: 4244.02-PPT-00001,,,,,,
Communications - Copper,checklist,,,,,,4244.02-001,,,,,
Communications - Copper,checklist,,,,,,4244.02-002,,,,,
Communications - Copper,checklist,,,,,,4244.02-003,,,,,
Communications - Copper,checklist,,,,,,4244.02-004,,,,,
Communications - Copper,checklist,,,,,,4244.02-005,,,,,
Communications - Copper,checklist,,,,,,4244.02-006,,,,,
Communications - Copper,checklist,,,,,,4244.02-007,,,,,
Communications - Copper,checklist,,,,,,4244.02-008,,,,,
Communications - Copper,checklist,,,,,,4244.02-009,,,,,
Communications - Copper,checklist,,,,,,4244.02-010,,,,,
Communications - Copper,checklist,,,,,,4244.02-011,,,,,
Communications - Copper,checklist,,,,,,4244.02-012,,,,,
Communications - Copper,checklist,,,,,,4244.02-013,,,,,
Communications - Copper,checklist,,,,,,4244.02-014,,,,,
Communications - Copper,checklist,,,,,,4244.02-015,,,,,
Communications - Copper,checklist,,,,,,4244.02-016,,,,,
Communications - Copper,checklist,,,,,,4244.02-017,,,,,
Communications - Copper,checklist,,,,,,4244.02-018,,,,,
Communications - Copper,checklist,,,,,,4244.02-019,,,,,
Communications - Copper,checklist,,,,,,4244.02-020,,,,,
Communications - Copper,checklist,,,,,,4244.02-021,,,,,
Communications - Copper,checklist,,,,,,4244.02-022,,,,,
Communications - Copper,checklist,,,,,,4244.02-023,,,,,
Communications - Copper,checklist,,,,,,4244.02-024,,,,,
,step,,,,,Patch Panel: 4244.02-PPT-00002,,,,,,
Communications - Copper,checklist,,,,,,4244.02-025,,,,,
Communications - Copper,checklist,,,,,,4244.02-026,,,,,
Communications - Copper,checklist,,,,,,4244.02-027,,,,,
Communications - Copper,checklist,,,,,,4244.02-028,,,,,
Communications - Copper,checklist,,,,,,4244.02-029,,,,,
Communications - Copper,checklist,,,,,,4244.02-030,,,,,
Communications - Copper,checklist,,,,,,4244.02-031,,,,,
Communications - Copper,checklist,,,,,,4244.02-032,,,,,
Communications - Copper,checklist,,,,,,4244.02-033,,,,,
Communications - Copper,checklist,,,,,,4244.02-034,,,,,
Communications - Copper,checklist,,,,,,4244.02-035,,,,,
Communications - Copper,checklist,,,,,,4244.02-036,,,,,
Communications - Copper,checklist,,,,,,4244.02-037,,,,,
Communications - Copper,checklist,,,,,,4244.02-038,,,,,
Communications - Copper,checklist,,,,,,4244.02-039,,,,,
Communications - Copper,checklist,,,,,,4244.02-040,,,,,
Communications - Copper,checklist,,,,,,4244.02-041,,,,,
Communications - Copper,checklist,,,,,,4244.02-042,,,,,
Communications - Copper,checklist,,,,,,4244.02-043,,,,,
Communications - Copper,checklist,,,,,,4244.02-044,,,,,
Communications - Copper,checklist,,,,,,4244.02-045,,,,,
Communications - Copper,checklist,,,,,,4244.02-046,,,,,
Communications - Copper,checklist,,,,,,4244.02-047,,,,,
Communications - Copper,checklist,,,,,,SPARE 1,,,,,
,step,,,,,Patch Panel: 4244.02-PPT-00003,,,,,,
Communications - Copper,checklist,,,,,,SPARE 1,,,,,
Communications - Copper,checklist,,,,,,SPARE 2,,,,,
Communications - Copper,checklist,,,,,,SPARE 3,,,,,
Communications - Copper,checklist,,,,,,SPARE 4,,,,,
Communications - Copper,checklist,,,,,,SPARE 5,,,,,
Communications - Copper,checklist,,,,,,SPARE 6,,,,,
Communications - Copper,checklist,,,,,,SPARE 7,,,,,
Communications - Copper,checklist,,,,,,SPARE 8,,,,,
Communications - Copper,checklist,,,,,,SPARE 9,,,,,
Communications - Copper,checklist,,,,,,SPARE 10,,,,,
Communications - Copper,checklist,,,,,,SPARE 11,,,,,
Communications - Copper,checklist,,,,,,SPARE 12,,,,,
Communications - Copper,checklist,,,,,,SPARE 13,,,,,
Communications - Copper,checklist,,,,,,SPARE 14,,,,,
Communications - Copper,checklist,,,,,,SPARE 15,,,,,
Communications - Copper,checklist,,,,,,SPARE 16,,,,,
Communications - Copper,checklist,,,,,,SPARE 17,,,,,
Communications - Copper,checklist,,,,,,SPARE 18,,,,,
Communications - Copper,checklist,,,,,,SPARE 19,,,,,
Communications - Copper,checklist,,,,,,SPARE 20,,,,,
Communications - Copper,checklist,,,,,,SPARE 21,,,,,
Communications - Copper,checklist,,,,,,SPARE 22,,,,,
Communications - Copper,checklist,,,,,,SPARE 23,,,,,
Communications - Copper,checklist,,,,,,SPARE 24,,,,,
,step,,,,,Patch Panel: 4244.02-PPT-00004,,,,,,
Communications - Copper,checklist,,,,,,4244.02-3-001,,,,,
Communications - Copper,checklist,,,,,,4244.02-3-002,,,,,
Communications - Copper,checklist,,,,,,4244.02-3-003,,,,,
Communications - Copper,checklist,,,,,,SPARE 1,,,,,
Communications - Copper,checklist,,,,,,SPARE 2,,,,,
Communications - Copper,checklist,,,,,,SPARE 3,,,,,
Communications - Copper,checklist,,,,,,SPARE 4,,,,,
Communications - Copper,checklist,,,,,,SPARE 5,,,,,
Communications - Copper,checklist,,,,,,SPARE 6,,,,,
Communications - Copper,checklist,,,,,,SPARE 7,,,,,
Communications - Copper,checklist,,,,,,SPARE 8,,,,,
Communications - Copper,checklist,,,,,,SPARE 9,,,,,
Communications - Copper,checklist,,,,,,SPARE 10,,,,,
Communications - Copper,checklist,,,,,,SPARE 11,,,,,
Communications - Copper,checklist,,,,,,SPARE 12,,,,,
Communications - Copper,checklist,,,,,,SPARE 13,,,,,
Communications - Copper,checklist,,,,,,SPARE 14,,,,,
Communications - Copper,checklist,,,,,,SPARE 15,,,,,
Communications - Copper,checklist,,,,,,SPARE 16,,,,,
Communications - Copper,checklist,,,,,,SPARE 17,,,,,
Communications - Copper,checklist,,,,,,SPARE 18,,,,,
Communications - Copper,checklist,,,,,,SPARE 19,,,,,
Communications - Copper,checklist,,,,,,SPARE 20,,,,,
Communications - Copper,checklist,,,,,,SPARE 21,,,,,
,step,,,,Rack: 4244.03-PPC-00001,,,,,,,
Communications - Cabinet,checklist,,,,,Cabinet ITC,,,,,,
,step,,,,,Patch Panel: 4244.03-PPT-00001,,,,,,
Communications - Copper,checklist,,,,,,4244.03-001,,,,,
Communications - Copper,checklist,,,,,,4244.03-002,,,,,
Communications - Copper,checklist,,,,,,4244.03-003,,,,,
Communications - Copper,checklist,,,,,,4244.03-004,,,,,
Communications - Copper,checklist,,,,,,4244.03-005,,,,,
Communications - Copper,checklist,,,,,,4244.03-006,,,,,
Communications - Copper,checklist,,,,,,4244.03-007,,,,,
Communications - Copper,checklist,,,,,,4244.03-008,,,,,
Communications - Copper,checklist,,,,,,4244.03-009,,,,,
Communications - Copper,checklist,,,,,,4244.03-010,,,,,
Communications - Copper,checklist,,,,,,4244.03-011,,,,,
Communications - Copper,checklist,,,,,,4244.03-012,,,,,
Communications - Copper,checklist,,,,,,4244.03-013,,,,,
Communications - Copper,checklist,,,,,,4244.03-014,,,,,
Communications - Copper,checklist,,,,,,4244.03-015,,,,,
Communications - Copper,checklist,,,,,,4244.03-016,,,,,
Communications - Copper,checklist,,,,,,4244.03-017,,,,,
Communications - Copper,checklist,,,,,,4244.03-018,,,,,
Communications - Copper,checklist,,,,,,4244.03-019,,,,,
Communications - Copper,checklist,,,,,,4244.03-020,,,,,
Communications - Copper,checklist,,,,,,4244.03-021,,,,,
Communications - Copper,checklist,,,,,,4244.03-022,,,,,
Communications - Copper,checklist,,,,,,4244.03-023,,,,,
Communications - Copper,checklist,,,,,,4244.03-024,,,,,
,step,,,,,Patch Panel: 4244.03-PPT-00002,,,,,,
Communications - Copper,checklist,,,,,,4244.03-025,,,,,
Communications - Copper,checklist,,,,,,4244.03-026,,,,,
Communications - Copper,checklist,,,,,,4244.03-027,,,,,
Communications - Copper,checklist,,,,,,4244.03-028,,,,,
Communications - Copper,checklist,,,,,,4244.03-029,,,,,
Communications - Copper,checklist,,,,,,4244.03-030,,,,,
Communications - Copper,checklist,,,,,,4244.03-031,,,,,
Communications - Copper,checklist,,,,,,4244.03-032,,,,,
Communications - Copper,checklist,,,,,,4244.03-033,,,,,
Communications - Copper,checklist,,,,,,4244.03-034,,,,,
Communications - Copper,checklist,,,,,,4244.03-035,,,,,
Communications - Copper,checklist,,,,,,4244.03-036,,,,,
Communications - Copper,checklist,,,,,,4244.03-037,,,,,
Communications - Copper,checklist,,,,,,4244.03-038,,,,,
Communications - Copper,checklist,,,,,,4244.03-039,,,,,
Communications - Copper,checklist,,,,,,4244.03-040,,,,,
Communications - Copper,checklist,,,,,,4244.03-041,,,,,
Communications - Copper,checklist,,,,,,4244.03-042,,,,,
Communications - Copper,checklist,,,,,,4244.03-043,,,,,
Communications - Copper,checklist,,,,,,4244.03-044,,,,,
Communications - Copper,checklist,,,,,,4244.03-045,,,,,
Communications - Copper,checklist,,,,,,4244.03-046,,,,,
Communications - Copper,checklist,,,,,,4244.03-047,,,,,
Communications - Copper,checklist,,,,,,4244.03-048,,,,,
,step,,,,,Patch Panel: 4244.03-PPT-00003,,,,,,
Communications - Copper,checklist,,,,,,4244.03-049,,,,,
Communications - Copper,checklist,,,,,,4244.03-050,,,,,
Communications - Copper,checklist,,,,,,4244.03-051,,,,,
Communications - Copper,checklist,,,,,,4244.03-052,,,,,
Communications - Copper,checklist,,,,,,SPARE 1,,,,,
Communications - Copper,checklist,,,,,,SPARE 2,,,,,
Communications - Copper,checklist,,,,,,SPARE 3,,,,,
Communications - Copper,checklist,,,,,,SPARE 4,,,,,
Communications - Copper,checklist,,,,,,SPARE 5,,,,,
Communications - Copper,checklist,,,,,,SPARE 6,,,,,
Communications - Copper,checklist,,,,,,SPARE 7,,,,,
Communications - Copper,checklist,,,,,,SPARE 8,,,,,
Communications - Copper,checklist,,,,,,SPARE 9,,,,,
Communications - Copper,checklist,,,,,,SPARE 10,,,,,
Communications - Copper,checklist,,,,,,SPARE 11,,,,,
Communications - Copper,checklist,,,,,,SPARE 12,,,,,
Communications - Copper,checklist,,,,,,SPARE 13,,,,,
Communications - Copper,checklist,,,,,,SPARE 14,,,,,
Communications - Copper,checklist,,,,,,SPARE 15,,,,,
Communications - Copper,checklist,,,,,,SPARE 16,,,,,
Communications - Copper,checklist,,,,,,SPARE 17,,,,,
Communications - Copper,checklist,,,,,,SPARE 18,,,,,
Communications - Copper,checklist,,,,,,SPARE 19,,,,,
Communications - Copper,checklist,,,,,,SPARE 20,,,,,
,step,,,,,Patch Panel: 4244.03-PPT-00004,,,,,,
Communications - Copper,checklist,,,,,,4244.03-3-001,,,,,
Communications - Copper,checklist,,,,,,4244.03-3-002,,,,,
Communications - Copper,checklist,,,,,,4244.03-3-003,,,,,
Communications - Copper,checklist,,,,,,4244.03-3-004,,,,,
Communications - Copper,checklist,,,,,,4244.03-3-005,,,,,
Communications - Copper,checklist,,,,,,4244.03-3-006,,,,,
Communications - Copper,checklist,,,,,,4244.03-3-007,,,,,
Communications - Copper,checklist,,,,,,SPARE 1,,,,,
Communications - Copper,checklist,,,,,,SPARE 2,,,,,
Communications - Copper,checklist,,,,,,SPARE 3,,,,,
Communications - Copper,checklist,,,,,,SPARE 4,,,,,
Communications - Copper,checklist,,,,,,SPARE 5,,,,,
Communications - Copper,checklist,,,,,,SPARE 6,,,,,
Communications - Copper,checklist,,,,,,SPARE 7,,,,,
Communications - Copper,checklist,,,,,,SPARE 8,,,,,
Communications - Copper,checklist,,,,,,SPARE 9,,,,,
Communications - Copper,checklist,,,,,,SPARE 10,,,,,
Communications - Copper,checklist,,,,,,SPARE 11,,,,,
Communications - Copper,checklist,,,,,,SPARE 12,,,,,
Communications - Copper,checklist,,,,,,SPARE 13,,,,,
Communications - Copper,checklist,,,,,,SPARE 14,,,,,
Communications - Copper,checklist,,,,,,SPARE 15,,,,,
Communications - Copper,checklist,,,,,,SPARE 16,,,,,
Communications - Copper,checklist,,,,,,SPARE 17,,,,,
,step,,,,Rack: 4244.04-PPC-00001,,,,,,,
Communications - Cabinet,checklist,,,,,Cabinet ITC,,,,,,
,step,,,,,Patch Panel: 4244.04-PPT-00001,,,,,,
Communications - Copper,checklist,,,,,,4244.04-001,,,,,
Communications - Copper,checklist,,,,,,4244.04-002,,,,,
Communications - Copper,checklist,,,,,,4244.04-003,,,,,
Communications - Copper,checklist,,,,,,4244.04-004,,,,,
Communications - Copper,checklist,,,,,,4244.04-005,,,,,
Communications - Copper,checklist,,,,,,4244.04-006,,,,,
Communications - Copper,checklist,,,,,,4244.04-007,,,,,
Communications - Copper,checklist,,,,,,4244.04-008,,,,,
Communications - Copper,checklist,,,,,,4244.04-009,,,,,
Communications - Copper,checklist,,,,,,4244.04-010,,,,,
Communications - Copper,checklist,,,,,,4244.04-011,,,,,
Communications - Copper,checklist,,,,,,4244.04-012,,,,,
Communications - Copper,checklist,,,,,,4244.04-013,,,,,
Communications - Copper,checklist,,,,,,4244.04-014,,,,,
Communications - Copper,checklist,,,,,,4244.04-015,,,,,
Communications - Copper,checklist,,,,,,4244.04-016,,,,,
Communications - Copper,checklist,,,,,,4244.04-017,,,,,
Communications - Copper,checklist,,,,,,4244.04-018,,,,,
Communications - Copper,checklist,,,,,,4244.04-019,,,,,
Communications - Copper,checklist,,,,,,4244.04-020,,,,,
Communications - Copper,checklist,,,,,,4244.04-021,,,,,
Communications - Copper,checklist,,,,,,4244.04-022,,,,,
Communications - Copper,checklist,,,,,,4244.04-023,,,,,
Communications - Copper,checklist,,,,,,4244.04-024,,,,,
,step,,,,,Patch Panel: 4244.04-PPT-00002,,,,,,
Communications - Copper,checklist,,,,,,4244.04-025,,,,,
Communications - Copper,checklist,,,,,,4244.04-026,,,,,
Communications - Copper,checklist,,,,,,4244.04-027,,,,,
Communications - Copper,checklist,,,,,,4244.04-028,,,,,
Communications - Copper,checklist,,,,,,4244.04-029,,,,,
Communications - Copper,checklist,,,,,,4244.04-030,,,,,
Communications - Copper,checklist,,,,,,4244.04-031,,,,,
Communications - Copper,checklist,,,,,,4244.04-032,,,,,
Communications - Copper,checklist,,,,,,4244.04-033,,,,,
Communications - Copper,checklist,,,,,,4244.04-034,,,,,
Communications - Copper,checklist,,,,,,4244.04-035,,,,,
Communications - Copper,checklist,,,,,,4244.04-036,,,,,
Communications - Copper,checklist,,,,,,4244.04-037,,,,,
Communications - Copper,checklist,,,,,,4244.04-038,,,,,
Communications - Copper,checklist,,,,,,4244.04-039,,,,,
Communications - Copper,checklist,,,,,,4244.04-040,,,,,
Communications - Copper,checklist,,,,,,4244.04-041,,,,,
Communications - Copper,checklist,,,,,,4244.04-042,,,,,
Communications - Copper,checklist,,,,,,4244.04-043,,,,,
Communications - Copper,checklist,,,,,,4244.04-044,,,,,
Communications - Copper,checklist,,,,,,4244.04-045,,,,,
Communications - Copper,checklist,,,,,,4244.04-046,,,,,
Communications - Copper,checklist,,,,,,4244.04-047,,,,,
Communications - Copper,checklist,,,,,,4244.04-048,,,,,
,step,,,,,Patch Panel: 4244.04-PPT-00003,,,,,,
Communications - Copper,checklist,,,,,,4244.04-049,,,,,
Communications - Copper,checklist,,,,,,4244.04-050,,,,,
Communications - Copper,checklist,,,,,,4244.04-051,,,,,
Communications - Copper,checklist,,,,,,SPARE 1,,,,,
Communications - Copper,checklist,,,,,,SPARE 2,,,,,
Communications - Copper,checklist,,,,,,SPARE 3,,,,,
Communications - Copper,checklist,,,,,,SPARE 4,,,,,
Communications - Copper,checklist,,,,,,SPARE 5,,,,,
Communications - Copper,checklist,,,,,,SPARE 6,,,,,
Communications - Copper,checklist,,,,,,SPARE 7,,,,,
Communications - Copper,checklist,,,,,,SPARE 8,,,,,
Communications - Copper,checklist,,,,,,SPARE 9,,,,,
Communications - Copper,checklist,,,,,,SPARE 10,,,,,
Communications - Copper,checklist,,,,,,SPARE 11,,,,,
Communications - Copper,checklist,,,,,,SPARE 12,,,,,
Communications - Copper,checklist,,,,,,SPARE 13,,,,,
Communications - Copper,checklist,,,,,,SPARE 14,,,,,
Communications - Copper,checklist,,,,,,SPARE 15,,,,,
Communications - Copper,checklist,,,,,,SPARE 16,,,,,
Communications - Copper,checklist,,,,,,SPARE 17,,,,,
Communications - Copper,checklist,,,,,,SPARE 18,,,,,
Communications - Copper,checklist,,,,,,SPARE 19,,,,,
Communications - Copper,checklist,,,,,,SPARE 20,,,,,
Communications - Copper,checklist,,,,,,SPARE 21,,,,,
,step,,,,,Patch Panel: 4244.04-PPT-00004,,,,,,
Communications - Copper,checklist,,,,,,4244.04-3-001,,,,,
Communications - Copper,checklist,,,,,,4244.04-3-002,,,,,
Communications - Copper,checklist,,,,,,4244.04-3-003,,,,,
Communications - Copper,checklist,,,,,,SPARE 1,,,,,
Communications - Copper,checklist,,,,,,SPARE 2,,,,,
Communications - Copper,checklist,,,,,,SPARE 3,,,,,
Communications - Copper,checklist,,,,,,SPARE 4,,,,,
Communications - Copper,checklist,,,,,,SPARE 5,,,,,
Communications - Copper,checklist,,,,,,SPARE 6,,,,,
Communications - Copper,checklist,,,,,,SPARE 7,,,,,
Communications - Copper,checklist,,,,,,SPARE 8,,,,,
Communications - Copper,checklist,,,,,,SPARE 9,,,,,
Communications - Copper,checklist,,,,,,SPARE 10,,,,,
Communications - Copper,checklist,,,,,,SPARE 11,,,,,
Communications - Copper,checklist,,,,,,SPARE 12,,,,,
Communications - Copper,checklist,,,,,,SPARE 13,,,,,
Communications - Copper,checklist,,,,,,SPARE 14,,,,,
Communications - Copper,checklist,,,,,,SPARE 15,,,,,
Communications - Copper,checklist,,,,,,SPARE 16,,,,,
Communications - Copper,checklist,,,,,,SPARE 17,,,,,
Communications - Copper,checklist,,,,,,SPARE 18,,,,,
Communications - Copper,checklist,,,,,,SPARE 19,,,,,
Communications - Copper,checklist,,,,,,SPARE 20,,,,,
Communications - Copper,checklist,,,,,,SPARE 21,,,,,
,step,,,,,Patch Panel:  4244.12-PPC-00001,,,,,,
Communications - Copper,checklist,,,,,,4244.12-001,,,,,
Communications - Copper,checklist,,,,,,4244.12-002,,,,,
Communications - Copper,checklist,,,,,,4244.12-003,,,,,
Communications - Copper,checklist,,,,,,4244.12-004,,,,,
Communications - Copper,checklist,,,,,,4244.12-005,,,,,
Communications - Copper,checklist,,,,,,4244.12-006,,,,,
Communications - Copper,checklist,,,,,,4244.12-007,,,,,
Communications - Copper,checklist,,,,,,4244.12-008,,,,,
Communications - Copper,checklist,,,,,,4244.12-009,,,,,
Communications - Copper,checklist,,,,,,4244.12-010,,,,,
Communications - Copper,checklist,,,,,,4244.12-011,,,,,
